input_position,distance,source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids
"302.55916666666667,36.17641666666667",6.373559057239935E-5,2059146654767199872,Gaia DR2 2059146654767199872,302.5591100721573,36.17637222274108,73.44679814101907,1.5465652040092037,318.1272290914094,54.310330259356846,0.5418340023105325,-5.127768457543909,-8.322794241379517,7.7383256,7.952234,7.383921,0.022295008406614112,0.026518211099982703,0.030786094122797106,0.04879099196034764,0.05208728269304397,0.9182,1.4766,1.2307,554.7354,0.0,0.0,9.521871,31,3,274,277,277,31,false,1.6841297478851658,0.007169173291887742,0.036564324,75.69814,0.2139082,0.56831264,0.17728205,-0.18793076,-0.07562342,false,0.473,0.7631,0.6237,200111,0,0.35440445,1818.4647,2179.3958,1998.9302,34,0.067544095,17.599958,-0.0047625666,-0.17784396,9113006.420191385,27875.543341908975,326.91763,32,1.1925185,1.513617210096731E7,13068.098660540561,1158.2535,292,0,8937159.315529227,26213.22743994414,340.94083,33,NOT_AVAILABLE,-0.0024754445,100001,-0.011010089,,,29.667421,31.907455,31.057756,1034244108,0.045216043,-0.040219203,-0.08122585,2015.5,0,,,,1635721458409799680,6832.5,7085.75,6925.3335,16,Gaia DR1 2059146650444898688
"302.97304166666663,36.19738888888889",5.07466701755187E-5,2058985262750809088,Gaia DR2 2058985262750809088,302.9730169111742,36.19734223988957,73.64717934844046,1.2784064122650196,318.67210262233004,54.206705471876276,0.47461243173023093,-2.6833428346167754,-5.899240408176675,7.881811,8.033492,7.6367717,0.02328929820693956,0.03055500358351615,0.03256638622065105,0.0494261647355838,0.05745051887934199,0.3522,0.9655,0.642,698.09296,0.0,0.0,13.436254,30,2,263,265,265,31,false,1.7061851143022253,0.007581714004929094,0.04035962,73.90109,0.15168095,0.3967204,0.14483294,-0.3004688,-0.15944256,true,0.1685,0.5523,0.33,200111,0,0.24503946,2066.17,2561.291,2313.7305,31,0.13183878,14.57369,-0.08819321,-0.18394016,8455876.055572428,13200.687767900668,640.5633,31,1.1714556,1.3262389880538553E7,7147.177461724031,1855.6122,273,0,7080425.124332456,11484.617965696953,616.5138,29,NOT_AVAILABLE,-0.073997684,100001,-0.054721702,,,28.170649,29.870956,29.177324,475113577,0.049917456,-0.12974097,-0.10516426,2015.5,0,,,,1635721458409799680,7324.533,7542.34,7411.085,17,Gaia DR1 2058985262750809088
"303.0272916666667,38.35494444444444",6.897192607847142E-5,2061690233159124352,Gaia DR2 2061690233159124352,303.0272144978476,38.354911351611996,75.47559074738017,2.4262220370468355,320.17799668043676,56.18629261937805,0.48647070515082474,-7.989020242893011,-6.643561188845063,7.1782155,7.3942904,6.8061647,0.02295160601156113,0.031425051536081314,0.03368861227286491,0.04925531184394104,0.05309687061993342,0.425,1.2711,0.848,429.01648,0.0,0.0,7.338122,27,0,238,238,238,31,true,1.6591776121493993,0.0069091802801624766,0.036627058,116.94975,0.21607494,0.5881257,0.42292497,-0.16230646,-0.14326327,true,0.214,0.6421,0.418,200111,0,0.37205076,3720.0034,4609.5503,4164.777,30,0.0018633446,14.440212,-0.07529325,-0.11177618,1.523487867650687E7,25985.952031391087,586.2736,26,1.2009935,2.535478909186664E7,11537.763474379208,2197.548,250,0,1.5216059010458563E7,19695.62058735756,772.56055,26,NOT_AVAILABLE,-0.08299791,100001,-0.08160287,,,40.137012,44.601986,43.03427,536386102,-0.07141616,-0.07905959,-0.22773728,2015.5,0,,,,1635721458409799680,6943.0,7319.0,7068.3335,16,Gaia DR1 2061690233159124352
"303.63237499999997,36.661",3.382732547583331E-5,2060508777869902592,Gaia DR2 2060508777869902592,303.63234680128977,36.66097484844846,74.32665959836051,1.0916562968401997,319.813203338051,54.43794221260537,0.4441709778500664,-2.7216454486684682,-5.663444092319658,7.7472944,7.962513,7.41913,0.02182009828762858,0.028005214076668394,0.02956693242762952,0.04768041757877743,0.05463931814594197,0.8579,1.5402,1.2178,512.76556,0.0,1.7233192653260188E-15,8.413632,31,3,273,276,276,31,false,1.6633205880364859,0.0076515362518792115,0.040164173,86.69382,0.21521854,0.5433831,0.11839732,-0.42305505,-0.114786625,false,0.4155,0.7609,0.6003,200111,0,0.32816458,2628.966,3260.532,2944.749,33,0.07024487,15.022559,-0.047853943,-0.18726669,9027137.573210288,17738.499981047287,508.90085,32,1.1776938,1.5011651572024975E7,11410.39452863541,1315.6119,293,0,8651992.39867351,28650.105786492437,301.98816,31,NOT_AVAILABLE,-0.03002512,100001,0.02256494,,,35.03422,40.783943,39.551846,1683651415,0.07056758,-0.104539424,-0.12939712,2015.5,0,,,,1635721458409799680,6658.0,7183.6,6760.9077,17,Gaia DR1 2060508773552435200
"304.25012499999997,37.42327777777778",3.596325255450659E-5,2060661846184974464,Gaia DR2 2060661846184974464,304.25009587667756,37.42325023846533,75.23454879314299,1.1066407963830278,321.10780826724533,54.9521797224645,0.3681091640435177,-2.6141324685907446,-5.121308878481476,7.9183903,8.119797,7.4997706,0.037781056029621,0.055136929129355916,0.043370855262404064,0.07923393171015382,0.08650894776169757,0.9394,1.456,1.208,379.28122,0.0,0.0,8.243686,21,3,181,184,184,31,true,1.6761005294298639,0.010172461642748104,0.06517317,79.212746,0.20140648,0.6200261,0.28734386,-0.72325605,0.09491371,false,0.3949,0.7351,0.609,200111,0,0.41861963,3055.9216,4292.2573,3674.0896,33,0.09049949,8.487477,-0.16445038,-0.29205212,7809741.788125291,23555.7919543054,331.54233,28,1.2354665,1.2823018412228905E7,10534.360632847935,1217.2565,269,0,8032667.209605732,30426.49303822198,264.0024,29,NOT_AVAILABLE,-0.22203359,100001,-0.1925295,,,33.217922,46.530754,41.12261,810266681,0.16490602,0.17974907,-0.61365217,2015.5,0,,,,1635721458409799680,6587.85,7797.0,7007.6665,12,Gaia DR1 2060661846184974464
"304.28383333333335,41.12416666666667",3.178179215160376E-5,2062560122958679936,Gaia DR2 2062560122958679936,304.2838042762742,41.12414362354496,78.32022358547891,3.153608344116757,323.89880439637136,58.32071834327325,-0.04378203355050087,-4.58555462497108,-4.9429540561711605,13.817151,15.430331,12.542976,0.04048665543578096,0.0433642618238746,0.048954056166561524,0.08744457497850743,0.0858687932089058,,,,1067.8674,0.4011417264401059,34.31025244511344,22.029093,25,0,219,0,219,31,false,1.3173979888074674,0.010285372465032715,0.08554681,5.588999,1.6131802,2.8873549,0.20885232,-0.3133475,-0.10924477,false,,,,,0,1.2741747,,,,26,0.08433383,-0.89434946,-0.19385861,-0.1538441,9298.711871326139,43.9571492831417,211.54037,25,1.5434344,56038.41727892775,41.12721891598591,1362.5627,228,0,77192.90557378023,237.24337587820185,325.37433,26,NOT_AVAILABLE,-0.032021936,110001,0.06498777,,,,,,1287030489,0.0029773458,-0.08347567,-0.20060275,2015.5,0,,,,1635721458409799680,3285.0,4764.647,4132.9937,16,Gaia DR1 2062560118653299072
"304.88508333333334,38.73166666666667",2.7412614966683816E-5,2061291595788070656,Gaia DR2 2061291595788070656,304.8850829851342,38.73163925539747,76.59796476866045,1.4286802905860283,322.83494230572757,55.95349957395717,0.7357655916780032,-2.3426976373863555,-3.670357392049345,7.74867,8.085562,7.2662883,0.021892718479340947,0.026629305493548916,0.02888232348787874,0.04916138449869389,0.055033433410995654,,,,385.21375,0.0,0.0,4.6960793,31,4,268,272,272,31,false,1.627746424754165,0.007023722924837675,0.040218778,91.75582,0.33689165,0.8192735,0.11778771,-0.32573703,-0.108697094,false,,,,200111,0,0.48238182,1022.0056,1161.1975,1091.6016,36,0.031812478,25.474598,0.08739033,-0.099716134,8059917.646963687,19530.145577611227,412.69113,27,1.2019069,1.4992644937201653E7,12570.77820932147,1192.6584,258,0,9959845.687540201,19303.816570167408,515.95215,26,NOT_AVAILABLE,0.0446671,100001,-0.0043671764,,,32.0436,33.21179,32.608624,472950070,0.088249445,-0.06749792,-0.12569256,2015.5,0,,,,1635721458409799680,5757.0,5861.0,5810.0,17,Gaia DR1 2061291591475062912
"305.1165833333333,43.854527777777776",3.316210724940096E-5,2081261372633822592,Gaia DR2 2081261372633822592,305.11654027825165,43.85451612425648,80.9302434751883,4.177120355101411,327.37022867668935,60.49202569100614,0.5815277697591581,-4.653065358399758,-2.0469535419792995,6.622556,6.923528,6.1990867,0.022758589814587667,0.030199736656065537,0.02855526528465885,0.049706036727164775,0.05564767804249329,,,,453.88947,0.0,0.0,9.288877,25,7,209,216,216,31,true,1.626692019861179,0.007052502228054736,0.041484274,197.84648,0.30097198,0.7244415,0.30168775,-0.38342226,-0.08864021,false,,,,200111,0,0.42346954,4487.205,5268.2607,4877.733,34,0.035182163,20.364992,-0.08455545,-0.0575243,2.350412129374378E7,33219.39367046946,707.5422,26,1.1849045,4.229837978769853E7,19791.647844133957,2137.1833,265,0,2.661541961675036E7,50407.500926820525,528.0051,28,NOT_AVAILABLE,0.0022689807,100001,0.1289104,,,62.11986,65.12939,63.632202,1312732473,0.18749052,-0.08426626,-0.33911633,2015.5,0,,,,1635721458409799680,5977.125,6120.1997,6047.033,16,Gaia DR1 2081261368330789632
"305.3822083333333,36.92022222222222",3.424314816220545E-5,2057563358004716928,Gaia DR2 2057563358004716928,305.38218998515634,36.92019128005899,75.32845484627786,0.07805741872357821,322.1992957527847,54.13610194123924,0.4870949189082256,-2.6559297475037686,-5.187668679773077,9.329,9.998111,8.542188,0.019505123522409313,0.02852309088146998,0.028997993205505005,0.04225061779529239,0.05351369535347169,,,,402.14975,0.0,0.0,6.035268,29,3,249,252,252,31,false,1.506179393258529,0.006375155839983398,0.039248277,208.06952,0.6691103,1.4559231,0.23990251,-0.33862555,-0.10531651,false,,,,200111,0,0.7868128,685.62665,832.17206,758.89935,30,0.08918018,16.797539,-0.019988226,-0.14273475,1384557.6066157254,4530.608098679078,305.60083,28,1.2752006,3497407.0734582427,2936.94777533172,1190.8306,258,0,3075338.1599195646,9381.539047506429,327.80743,27,NOT_AVAILABLE,-0.080322064,100001,-0.054612376,,,43.395782,47.962856,46.090797,32375649,0.032787144,-0.06351885,-0.23953812,2015.5,0,,,,1635721458409799680,4374.4136,4598.8433,4462.3667,17,Gaia DR1 2057563353697487616
"305.43483333333336,37.375083333333336",7.94053951318848E-5,2057966393428544128,Gaia DR2 2057966393428544128,305.43474751553543,37.375124006545065,75.7262516390146,0.30273144265618296,322.57376869894676,54.53741763324264,0.5755491118211946,-3.4220328612424202,-6.269736132782872,12.225571,13.229303,11.271402,0.02024589612009912,0.02636243212246191,0.02835890109803488,0.04236851507250758,0.04715579797936048,1.1675,1.5645,1.359,456.83572,0.0,0.0,8.016176,28,0,242,242,242,31,true,1.3816054008565932,0.0067591992391565795,0.034904286,333.63025,1.0037327,1.957901,0.10163388,-0.32661626,-0.10812879,false,0.5649,0.7724,0.6753,200111,0,0.9541683,42.647274,50.117786,46.38253,29,1.39909E-4,20.295183,0.009552398,-0.30989516,70604.7506888524,256.290652707661,275.48703,29,1.3167436,242726.96107087954,51.738321287423815,4691.4346,249,0,249004.42365664727,484.0625558852454,514.40546,29,NOT_AVAILABLE,-0.05848809,100001,-0.05787802,,,12.896537,14.6163,13.731209,180374804,0.17037615,-0.06200447,-0.29266512,2015.5,0,,,,1635721458409799680,3940.0,4194.4824,4065.0,15,Gaia DR1 2057966393428544128
"306.02583333333337,41.42583333333334",2.166870162612687E-4,2068434332539101056,Gaia DR2 2068434332539101056,306.02577248190073,41.42604516210816,79.31126843017931,2.245285693675775,326.3836959552472,58.02409916253297,0.5067922402284366,-3.8380386055789257,-3.7067413760442554,13.765556,16.17088,12.267199,0.07172828987541192,0.0736729206553915,0.0850389307632391,0.15040994227396073,0.13603823552654498,2.7115,2.8611,2.799,2390.5803,0.6366441973110568,91.81745650756986,38.590267,24,2,207,0,209,31,false,1.197290905543477,0.021356835798503206,0.14801572,2.3339796,2.405323,3.9036808,0.31508625,-0.35554448,-0.010366703,false,1.3799,1.451,1.4227,,0,1.4983578,,,,25,-0.08947713,5.9595323,-0.2845675,-0.12502179,4701.145892181727,26.849532049214183,175.09229,24,1.7734191,58765.67677903217,38.15885864270326,1540.0271,217,1,99515.02758459593,439.96885036813137,226.18652,23,NOT_AVAILABLE,-0.18262841,100002,-0.0074800756,,,,,,1202192979,0.1783029,0.018941002,-0.48744532,2015.5,0,,,,1635721458409799680,3293.3333,3836.6165,3335.0,14,
"307.06058333333334,43.657111111111114",5.963695260916784E-5,2069091531258827648,Gaia DR2 2069091531258827648,307.0606311220126,43.65706251914179,81.57459529047945,2.913356926516886,329.66961770662874,59.65820923802854,0.532402952073666,-2.901400115052164,-3.680325615944202,12.802838,14.706278,11.459097,0.037402631454237084,0.0402162007720604,0.046469811877806126,0.08382762367301264,0.08240650768249375,2.5805,2.6971,2.6587,1711.5508,0.2398390187812564,24.62920383877869,29.75663,32,9,272,254,281,31,false,1.2689582060255242,0.011249669822635044,0.054855533,14.8476305,1.9034395,3.247181,0.2940936,-0.10599458,-0.02597056,false,1.3369,1.3934,1.3733,200111,0,1.3437414,26.34478,33.96102,30.1529,35,0.033044737,11.456964,-0.124888994,-0.043393515,18115.23669655223,156.51642041264867,115.740166,33,1.5956585,142630.06127148937,418.51178586934765,340.80298,307,1,209473.6311052563,2003.256772254532,104.56654,32,NOT_AVAILABLE,-0.07909801,100002,0.013335347,,,8.641678,13.822665,10.594106,812342927,0.1643239,-0.028406492,-0.16212179,2015.5,0,,,,1635721458409799680,3638.0,4601.0776,4155.5303,16,Gaia DR1 2069091526959577728
