#id,WR#,Reference,Name,Name 2,Name 3,Right Ascension J2000,Declination J2000,Galactic Longitude (deg),Galactic Latitude (deg),Spectral Type,Spectral Type Reference,Binary Status,Binary Status Reference,u,b,v,r,U,B,V,R,I,J,H,K,Cluster,Association,Distance (kpc),Distance Reference
175,77-1,MV09,,,2MASS J16441069-4524246,16 44 10.69,-45 24 24.60,339.56,0.27,WN7; WN7b,MV10; RC15,,,,,,,,19.1,,15.5,,10.062,9.002,8.291,,,,
176,77aa,VIIA,HBD 4,NC-T,SHS J164646.3-454758,16 46 46.30,-45 47 58.00,339.56,-0.33,WC9d,"HBD05, CH06",,,,,,,,,,15.516,13.063,10.04,8.214,6.725,Westerlund 1,,5,CH06
177,77-2,MV09,,,2MASS J16465342-4535590,16 46 53.42,-45 35 59.00,339.72,-0.22,WN7,MV10,,,,,,,,,,,,10.751,9.525,8.729,,,,
178,77a,VIIA,,NC-Q,,16 46 55.55,-45 51 35.00,339.53,-0.39,WN6o,CH06,,,,,,,,,,,,11.72,10.67,10,Westerlund 1,,5,CH06
179,77b,VIIA,,NC-N,,16 46 59.90,-45 55 26.00,339.49,-0.44,WC9d,CH06,,,,,,,,,,16.9,13,9.691,7.842,6.407,Westerlund 1,,5,CH06
180,77c,VIIA,,NC-I,,16 47 00.88,-45 51 20.80,339.54,-0.4,WN8o,CH06,,,,,,,,,,17.336,14.34,10.89,9.57,8.86,Westerlund 1,,5,CH06
181,77d,VIIA,,NC-P,Wd1-57c,16 47 01.59,-45 51 45.50,339.536,-0.406,WN7o,CH06,,,,,,,,,,,,11.06,9.83,9.26,Westerlund 1,,5,CH06
182,77e,VIIA,,NC-J,,16 47 02.47,-45 51 00.10,339.547,-0.4,WN5h,CH06,,,,,,,,,,,,11.7,10.3,9.7,Westerlund 1,,5,CH06
183,77f,VIIA,,NC-S,Wd1-5,16 47 02.98,-45 50 20.00,339.56,-0.39,WN10-11h,CH06,,,,,,,,21.552,17.792,15.035,12.508,9.81,8.8,8.29,Westerlund 1,,5,CH06
184,77g,VIIA,,NC-K,,16 47 03.25,-45 50 43.80,339.552,-0.399,WC8,CH06,,,,,,,,,,,,11.81,10.4,9.53,Westerlund 1,,5,CH06
185,77h,VIIA,,NC-V,,16 47 03.81,-45 50 38.80,339.554,-0.399,WN8o,CH06,,,,,,,,,,,,10.75,9.42,8.76,Westerlund 1,,5,CH06
186,77i,VIIA,,NC-M,Wd1-66,16 47 03.96,-45 51 37.80,339.542,-0.41,WC9d,CH06,,,,,,,,,,16.906,13.949,10.13,7.64,6.9,Westerlund 1,,5,CH06
187,77j,VIIA,,NC-G,,16 47 04.01,-45 51 25.20,339.545,-0.408,WN7o,CH06,,,,,,,,,20.87,17.75,14.68,11.36,9.97,9.28,Westerlund 1,,5,CH06
188,77k,VIIA,,NC-L,Wd1-44,16 47 04.19,-45 51 07.40,339.549,-0.405,WN9h,CH06,,,,,,,,22.6,18.86,15.61,12.52,9.08,7.72,7.19,Westerlund 1,,5,CH06
189,77l,VIIA,,NC-H,,16 47 04.22,-45 51 20.20,339.546,-0.407,WC9d,CH06,,,,,,,,,,15.537,12.499,10.31,8.56,7.38,Westerlund 1,,5,CH06
190,77m,VIIA,,NC-C,,16 47 04.40,-45 51 03.80,339.55,-0.405,WC9d,NC05,,,,,,,,,,,,11.26,9.51,8.23,Westerlund 1,,5,CH06
191,77n,VIIA,,NC-F,Wd1-241,16 47 05.22,-45 52 25.00,339.535,-0.421,WC9d,CH06,,,,,,,,21.7,17.86,15.39,12.9,9.85,7.97,7.28,Westerlund 1,,5,CH06
192,77o,VIIA,,NC-B,Wd1-14c,16 47 05.36,-45 51 05.00,339.552,-0.407,WN7o,CH06,,,,,,,,,20.99,17.5,14.37,10.91,9.79,9.18,Westerlund 1,,5,CH06
193,77p,VIIA,,NC-E,,16 47 06.05,-45 52 08.20,339.54,-0.42,WC9,CH06,,,,,,,,,18.379,15.675,12.94,10.12,9.09,8.29,Westerlund 1,,5,CH06
194,77q,VIIA,,NC-R,,16 47 06.07,-45 50 22.60,339.562,-0.401,WN5o,CH06,,,,,,,,,,17.652,15.223,10.91,9.79,9.18,Westerlund 1,,5,CH06
195,77r,VIIA,,NC-D,,16 47 06.24,-45 51 26.50,339.549,-0.413,WN7o,CH06,,,,,,,,,,18.935,15.6,11.92,10.84,10.26,Westerlund 1,,5,CH06
196,77s,VIIA,GDTB 1,NC-U,,16 47 06.55,-45 50 39.00,339.56,-0.405,WN6o,CH06,,,,,,,,,19.69,16.59,13.68,Nan,Nan,Nan,Westerlund 1,,5,CH06
197,77sa,VIIA,GDTB 3,NC-W,,16 47 07.58,-45 49 22.20,339.578,-0.394,WN6h,CH06,,,,,,,,,,,,12.233,10.422,10.167,Westerlund 1,,5,CH06
198,77sb,VIIA,,NC-O,,16 47 07.66,-45 52 35.90,339.537,-0.429,WN6o,CH06,,,,,,,,,,16.886,14.047,11.63,8.814,8.332,Westerlund 1,,5,CH06
199,77sc,VIIA,,NC-A,Wd1-72,16 47 08.32,-45 50 45.50,339.562,-0.41,WN7b,CH06,,,,,,,,,19.69,16.59,13.68,Nan,Nan,Nan,Westerlund 1,,5,CH06
200,77sd,VIIA,GDTB 2,NC-X,,16 47 14.10,-45 48 32.00,339.6,-0.4,WN5o,CH06,,,,,,,,,,,,12.362,11.079,9.99,Westerlund 1,,5,CH06
607,77-3,MDM11,MDM11 30,,,16 47 46.03,-45 59 04.9,339.53,-0.58,WN6,MDM11,,,,,,,,,,,,11.12,9.84,9.1,,,,
608,77-4,MDM11,MDM11 31,,,16 48 27.58,-46 09 27.1,339.47,-0.79,WN5; WN6,MDM11; RC15,,,,,,,,,,,,14.14,11.85,10.59,,,,
201,77t,VIIA,HBD 5,,SHS J165057.6-434028,16 50 57.60,-43 40 28.00,341.66,0.47,WC9d,"HBD05, CH06",,,,,,,,,,,13,10.647,9.414,8.318,,,,
535,77-6,SFZ12,SFZ12 1138-133L,,,16 51 19.32,-43 26 55.3,341.88,0.56,WN6; WN6b,SFZ12; RC15,,,,,,,,,,,,13.56,11.93,10.95,,,,
536,77-7,SFZ12,SFZ12 1133-59L,,,16 51 29.69,-43 53 35.3,341.55,0.25,WC9,SFZ12,,,,,,,,,,,,14.73,13.46,12.06,,,,
202,78,VII,HD 151932,HIP 82543,HR 6249,16 52 19.25,-41 51 16.20,343.22,1.43,WN7h,SSM96,eclipse?,"BE89,MMH98,NG99a",,6.82,6.61,,6.12,6.76,6.48,,,5.441,5.269,4.978,NGC 6231-305:,Sco OB1,2,BV99
672,78-1,KSF14,1139-49EA,,,16 54 08.46,-43 49 25.3,-18.09,-0.073,WC6::,KSF14,,,,,,,,,,,,16.289,14.528,13.086,,,,
203,79,VII,HR 6265,HIP 82706,HD 152270,16 54 19.70,-41 49 11.50,343.49,1.16,WC7+O5-8,VI,"SB2, VB","SD87,SM89,LM96,MMH98,HaM99,NG99a",,6.96,6.95,,6.32,6.83,6.6,6.6,,5.963,5.81,5.389,NGC 6231-220,Sco OB1,2,BV99
204,79a,VII,HR 6272,HIP 82775,HD 152408,16 54 58.51,-41 09 03.10,344.08,1.49,WN9ha,BoC99,VB,"MG98,MMH98",,5.44,5.29,,5.18,5.98,5.81,,,5.148,5.09,4.904,NGC 6231-327,Sco OB1,2,BV99
205,79b,VII,,TYC 7880 313 1,HD 152386,16 55 06.45,-44 59 21.40,341.11,-0.94,WN9ha,BoC99,VB,MG98,,8.87,8.32,,8.16,8.66,8.14,,,6.764,6.617,6.475,KQ Sco group,,2.9,Tu79
206,80,VII,,,Wra 1581,16 59 02.20,-45 43 06.00,340.97,-1.93,WC9d,VI,,,,16.23,14.63,14.05,,,,,,Nan,Nan,Nan,,,,
207,81,VII,He3-1316,GSC 8327-0141,He3-1316,17 02 40.39,-45 59 15.50,341.15,-2.6,WC9,WH00,,,14.82,13.81,12.71,12.04,,,,10.9,,8.294,7.756,7.116,,,,
208,82,VII,Ls 11,GSC 8328-1231,,17 04 04.61,-45 12 15.00,341.92,-2.32,WN7(h),SSM96,,AB95,13.63,13.26,12.41,11.83,12.95,12.97,12.21,,,9.475,9.043,8.692,,,,
673,82-2,KSF14,1178-66B,,,17 07 23.95,-39 19 54.4,-13.024,0.738,WC9,KSF14,,,,,,,,,,,,12.494,11.124,10.259,,,,
537,82-1,SFZ12,SFZ12 1168-91L,,,17 09 32.64,-41 29 47.3,345.48,-0.88,WC7:,SFZ12,,,,,,,,,,,,15.13,13.43,11.84,,,,
209,83,VII,He 3-1344,MR 67,,17 10 54.50,-46 36 18.00,341.51,-4.11,WN5o,SSM96,,,13.86,13.59,12.8,12.43,,,,12.16,,10.264,9.889,9.528,,,,
538,83-1,SFZ12,SFZ12 1179-129L,,,17 11 00.84,-39 49 31.2,346.99,-0.12,WC6:,SFZ12,,,,,,,,,,,,15.26,13.89,12.81,,,,
210,84,VII,LS 12,GSC 7874-0307,The 3,17 11 21.70,-39 53 22.20,346.98,-0.21,WN7o,SSM96,,,15.28,14.66,13.6,12.78,,,,,,Nan,Nan,Nan,,,,
539,84-2,SFZ12,SFZ12 1181-82L,,,17 11 28.52,-39 13 16.8,347.53,0.17,WC8,SFZ12,,,,,,,,,,,,13.98,12.2,10.98,,,,
632,84-6,BGH12,[DBS2003] 179 #15,,,17 11 31.80,-39 10 46.8,347.574,0.186,WN8-9,BGH12,,,,,,,,,,,,12.5,10.53,9.57,[DBS2003] 179,,7.9,BGH12
631,84-7,BGH12,[DBS2003] 179 #4,,,17 11 31.88,-39 10 46.9,347.574,0.185,Ofpe/WN9,BGH12,,,,,,,,,,,,12.08,10.14,9.18,[DBS2003] 179,,7.9,BGH12
609,84-1,MDM11,MDM11 32,[DBS2003] 179 #20,,17 11 33.03,-39 10 39.7,347.578,0.184,WN8-9; WN9,"MDM1, BGH12; RC15",,,,,,,,,,,,12.37,10.43,9.19,[DBS2003] 179,,7.9,BGH12
540,84-3,SFZ12,SFZ12 1181-81L,,,17 11 36.12,-39 11 07.9,347.58,0.17,WC8,SFZ12,,,,,,,,,,,,13.35,12.08,10.84,,,,
541,84-4,SFZ12,SFZ12 1181-211L,,,17 11 46.14,-39 20 27.7,347.47,0.05,WN7; WN7ha,SFZ12; RC15,,,,,,,,20.75,17.7,16.33,,10.88,10,9.49,,,,
674,84-11,KSF14,1176-B49,,,17 12 34.87,-40 37 13.8,-13.471,-0.827,WN9h,KSF14,,,,,,,,,,,,12.661,11.218,10.409,,,,
542,84-5,SFZ12,SFZ12 1189-110L,,,17 14 09.56,-38 11 20.9,348.68,0.35,WC9,SFZ12,,,,,,,,,,,,14.34,12.78,11.59,,,,
649,84-8,CBB12,VVV CL099-4,,,17 14 24.71,-38 09 49.35,348.73,0.33,WN6+O,CBB12,,,,,,,,,,,,12.62,10.93,9.91,VVV CL099,,4,
650,84-9,CBB12,VVV CL099-5,,,17 14 25.42,-38 09 50.40,348.73,0.33,WN6,CBB12,,,,,,,,,,,,13.43,11.7,10.64,VVV CL099,,4,
651,84-10,CBB12,VVV CL099-7,,,17 14 25.66,-38 09 53.72,348.73,0.32,WC8,CBB12,,,,,,,,,,,,11.67,10.06,9.26,VVV CL099,,4,
211,85,VII,HD 155603B,TYC 7874 1219,LSS 3982,17 14 27.13,-39 45 47.00,347.43,-0.61,WN6h,SSM96,"d.e.l., VB","HH88,CM89,Hip97,VII",11.37,11.17,10.6,10.21,10.64,10.96,10.4,,,8.2,7.943,7.475,HD 155603 group?,,1.8,MF77
675,85-1,KSF14,1198-6EC8,,,17 15 55.9,-37 19 12.0,-10.413,0.575,WC6::,KSF14,,,,,,,,,,,,16.152,14.681,13.467,,,,
212,86,VII,,HIP 84655,HD 156327,17 18 23.06,-34 24 30.60,352.25,1.85,WC7 (+B0III-I),NS98,"SB1?, VB","JB63,HH88,ML88,CM89,SS90,GV91,NS98,NG99a,VII",10.47,10.06,9.63,9.36,9.83,10.1,9.29,,,7.436,7.136,6.666,,,,
214,88,VII,The 1,,The 1,17 18 49.50,-33 57 39.80,352.67,2.04,WC9,WH00,,,15.02,14.25,13.25,12.44,,,,11.8,,9.033,8.564,8.052,,Anon. Sco OB?,,
213,87,VII,LSS 4064,GSC 7870-1223,,17 18 52.89,-38 50 04.50,348.69,-0.77,WN7h+abs,SSM96,"a, d.e.l.","CM89,VII",15.12,14.08,12.5,11.44,13.93,13.55,11.96,,,7.981,7.452,7.085,HM 1,Anon. Sco OB,2.9,HM77
215,89,VII,LSS 4065,HIP 84716,AS 223,17 19 00.52,-38 48 51.20,348.72,-0.78,WN8h+abs,SSM96,"a, d.e.l., VB","CM89,Hip97,VII",13.62,12.72,11.5,10.54,13.01,12.5,11.03,,,7.385,6.963,6.578,HM 2,Anon. Sco OB,2.9,HM77
216,90,VII,,HIP 84757,HD 156385,17 19 29.90,-45 38 23.80,343.16,-4.76,WC7,VI,,NG99a,,7.33,7.45,7.48,6.54,7.17,6.96,,,6.251,6.09,5.52,,,,
217,91,VII,StSa 1,,,17 20 22.00,-38 56 47.00,348.76,-1.07,WN7b,SSM96,,,,17.26,15.76,14.3,,,,,,9.532,8.765,8.199,,,,
218,91-1,SM09,SMG09 1222_15,,2MASS J17224074-3504529,17 22 40.74,-35 04 52.90,352.2,0.74,WC8; WC7,SMG09; RC15,,,,,,,,,,,,15.11,12.05,10.33,,,,
220,93,VII,Th10-19,GSC 7383-0162,HD 157504,17 25 08.88,-34 11 12.80,353.23,0.83,WC7+O7-9,HH88,SB2?,"LS84,LT84,CM89,SS90,VII",13.48,12.58,11.46,10.55,12.8,12.1,10.68,,,7.036,6.533,5.865,Pi 24:,,2.5,MA01
219,92,VII,,TYC 7895 1089,HD 157451,17 25 23.15,-43 29 31.90,345.54,-4.42,WC9,WH00,,,10.71,10.5,10.43,10.5,10,10.62,10.33,,,9.503,9.222,8.822,,,,
221,93a,VII,Th3-28,,Th3-28,17 30 56.80,-26 59 10.00,359.92,3.78,WN2.5-3; WN6; WN6h,AS90; Mis13; RC17,,,,13.9,13.9,,,18.7,,16.9,,13.883,13.221,12.717,,,,
222,93b,VIIA,DBU 1,,,17 32 03.30,-35 04 32.50,353.27,-0.85,WO3,DBU04,,,,,,,,16.9,,14.4,,11.331,10.555,10.17,,,,
223,94,VII,HD 158860,GSC 7380-0394,,17 33 07.14,-33 38 23.70,354.6,-0.25,WN5o,SSM96,,,,13.01,12.27,,,,,,,7.091,6.188,5.913,,,,
543,94-1,SFZ12,SFZ12 1245-23L,,,17 33 33.22,-32 36 16.4,355.52,0.24,WC9,SFZ12,,,,,,,,,,,,15.99,12.59,10.76,,,,
224,95,VII,He3-1434,,He3-1434,17 36 19.76,-33 26 10.90,355.13,-0.7,WC9d,VI,,,16.62,15.29,14,13.35,16.01,15.15,13.38,,,8.29,6.67,5.27,Tr 27-28:,,2.5,MA01
225,96,VII,,,LSS 4265,17 36 24.20,-32 54 29.00,355.58,-0.43,WC9d,HH88,,,,15.15,14.14,,,,,,,Nan,Nan,Nan,,,,
226,97,VII,HDE 320102,HIP 86197,,17 36 53.62,-34 02 36.80,354.68,-1.12,WN5b+O7,SSM96,SB2,"SM89,NC95,NR96,LM96,MMH98",12.3,11.82,11.14,10.62,11.51,11.73,10.85,,,8.502,8.215,8.009,,,,
227,98,VII,HDE 318016,GSC 7380-0192,,17 37 13.75,-33 27 55.90,355.21,-0.87,WN8o/C7,SSM96,SB1,"Ni91,MMEv98",,13.59,12.51,,13.71,13.22,11.85,,,8.091,7.548,7.045,Tr 27-105?,,2.5,MA01
676,98-2,KSF14,1256-1483A,,,17 40 59.35,-32 11 22.3,-3.292,-0.86,WN9,KSF14,,,,,,,,,,,,13.98,12.46,11.86,,,,
228,98a,VII,,,IRAS 17380-3031,17 41 12.90,-30 32 29.00,358.13,-0.03,WC8-9vd+?,CH91,CWB,"WC95,Mo99,MT99,TMD02,Wi02",,19.7,19.7,,,,,,,9.14,6.51,4.33,,,,
544,98-1,SFZ12,SFZ12 1269-166L,,,17 41 13.51,-30 03 41.1,358.54,0.22,WC8,SFZ12,,,,,,,,,,,,13.52,11.7,10.56,,,,
229,100,VII,HDE 318139,GSC 7381-1214,,17 42 09.77,-32 33 24.70,356.53,-1.26,WN7b,SSM96,,,,14.61,13.44,,,,,11.2,,8.846,8.272,7.715,,,,
545,100-3,SFZ12,SFZ12 1275-184L,,,17 44 06.89,-30 01 13.2,358.9,-0.29,WN8,SFZ12,,,,,,,,,,,,13.9,11.52,10.17,,,,
230,100-2,MC10,MC10 2,,G359.717-0.044,17 45 06.91,-29 12 02.1,359.717,-0.044,WC9?d,MC10,,,,,,,,,,,,16.842,13.526,11.112,,,,
231,100-1,MM10,,,CXOGC J174508.9-291218,17 45 08.90,-29 12 18.00,359.72,-0.05,WN7; WN7b,MM10; RC15,,,,,,,,,,,,15.12,12.61,11.08,,,,
232,101,VII,DA 3,,DA 3,17 45 09.10,-31 50 16.00,357.47,-1.43,WC8,HH88,,,,17.9,16.4,,,,,13.1,,9.623,8.779,7.886,,,,
233,101-7,MC10,MCD10 4,,G359.74-0.090,17 45 09.74,-29 14 14.6,359.691,-0.072,WC9?d,MC10,,,,,,,,,,,,15.555,13.019,11.14,,,,
234,101-2,MM10,,,CXOGC J174516.1-284909,17 45 16.10,-28 49 09.0,0.0597,0.127,WN9,MM10,,,,,,,,,,,,11.49,9.172,7.888,,,,
235,101-3,MM10,,,CXOGC J174516.7-285824,17 45 16.70,-28 58 24.00,359.93,0.04,WN7-8h; WN8o,MM10; RC15,,,,,,,,,,,,16.67,13.08,11.09,,,,
236,101-4,MM10,,,CXOGC J174519.1-290321,17 45 19.16,-29 03 21.78,359.86,-0.01,WC9d,MM10,,,,,,,,,,,,17.1,13.3,10.4,,,,
237,101-8,MC10,MCD10 3,,G359.746-0.090,17 45 21.85,-29 11 59.5,359.746,-0.09,WC9,MC10,,,,,,,,,,,,Nan,14.672,12.703,,,,
238,101-5,MM10,,,CXOGC J174522.6-285844,17 45 22.60,-28 58 44.00,359.94,0.02,WN5-6b; WN6b,MM10; RC15,,,,,,,,,,,,Nan,15.21,12.22,,,,
239,101-6,MM10,,,CXOGC J174528.6-285605,17 45 28.60,-28 56 05.00,359.98,0.03,WN8-9h,MM10,,,,,,,,,,,,14.46,11.46,9.72,,,,
240,101-9,MC10,MCD10 8,,G359.866-0.062,17 45 32.48,-29 04 58.2,359.866,-0.062,WC9,MC10,,,,,,,,,,,,Nan,14.621,12.016,,,,
241,101-1,ME06,Edd-1,,CXOGC J174536.1-285638,17 45 36.12,-28 56 38.70,359.99,-0.001,WN8-9h; WN9h,MM10; RC15,,,,,,,,,,,,15.55,12.26,10.42,,,,
625,101ai,VIIa,PGM06 E81,AFNWNW,,17 45 39.306,-29 00 30.68,359.942,-0.0442,WN7,PGM06,,,,,,,,,,,,Nan,Nan,12.6,Galactic Centre,,8,
242,101a,VII,BSD 1,PGM06 E82,MPE-8.3-5.7,17 45 39.382,-29 00 33.43,359.942,-0.045,WC9; WC8-9,BSD95; PGM06,,,,,,,,,,,,Nan,Nan,12.98,Galactic Center,,8,Re93
243,101b,VII,KGE 1,AF-NW,PGM06 E74,17 45 39.458,-29 00 31.67,359.942,-0.045,WN9-11; WN8,KGE95; PGM06,,,,,,,,,,,,Nan,Nan,11.83,Galactic Center,,8,Re93
244,101c,VII,KGE 2,AF,PGM06 E79,17 45 39.541,-29 00 35.01,359.942,-0.046,WN9-11; Ofpe/WN9,KGE95; PGM06,,,,,,,,,,,,Nan,Nan,10.98,Galactic Center,,8,Re93
245,101d,VII,KGE 3,,GC IRS 6E,17 45 39.643,-29 00 27.33,359.944,-0.045,WC9,KGE95,,,,,,,,,,,,Nan,Nan,9.55,Galactic Center,,8,Re93
246,101da,VIIA,PGM 1 (E60),,,17 45 39.708,-29 00 29.75,359.943,-0.045,WN7?,PGM06,,,,,,,,,,,,Nan,Nan,12.6,Galactic Center,,8,Re93
247,101db,VIIA,PGM 2 (E56),,GC IRS 34W,17 45 39.731,-29 00 26.51,359.944,-0.045,Ofpe/WN9,PGM06,,,,,,,,,,,,Nan,Nan,11.6,Galactic Center,,8,Re93
248,101dc,VIIA,GC IRS 7SW,PGM E66,MES05 WR1,17 45 39.739,-29 00 23.17,359.945,-0.044,WN8-9; WN8,MES05; PGM06,,,,,,,,,,,,Nan,Nan,12,Galactic Center,,8,Re93
249,101dd,VIIA,PGM 3 (E61),,GC IRS 34NW,17 45 39.756,-29 00 25.25,359.944,-0.045,WN7,PGM06,,,,,,,,,,,,Nan,Nan,12.8,Galactic Center,,8,Re93
250,101de,VIIA,MPS 1,,GC IRS 13E5,17 45 39.78,-29 00 29.65,359.943,-0.046,WCLd?,MPS04,,,,,,,,,,,,Nan,Nan,11.9,Galactic Center,,8,Re93
251,101df,VIIA,MPS 2,,GC IRS 13E3B,17 45 39.79,-29 00 29.59,359.943,-0.046,WCLd?,MPS04,,,,,,,,,,,,Nan,Nan,13.07,Galactic Center,,8,Re93
253,101dh,VIIA,MPS 3,PGM06 E49,GC IRS 13E3A,17 45 39.796,-29 00 29.63,359.943,-0.046,WCLd?,MPS04; PGM06,,,,,,,,,,,,Nan,Nan,13,Galactic Center,,8,Re93
254,101di,VIIA,MPS 4,PGM06 E48,GC IRS 13E4,17 45 39.797,-29 00 29.52,359.943,-0.046,WC8-9; WC9,MPS04; PGM06,,,,,,,,,,,,Nan,Nan,11.7,Galactic Center,,8,Re93
257,101e,VIIa,KGE 5,PGM06 E51,GC IRS 13E2,17 45 39.801,-29 00 29.84,359.944,-0.046,WN9-10+?; WN8,KGE05; PGM06,,,,,,,,,,,,Nan,Nan,10.8,Galactic Center,,8,Re93
256,101ea,VIIA,EML 1,,GC IRS 13E3c,17 45 39.808,-29 00 29.48,359.943,-0.046,WCLd?,EML04,,,,,,,,,,,,Nan,Nan,12.49,Galactic Center,,8,Re93
255,101f,VII,GC IRS 7W,PGM06 E68,KGE 04; MES05 WR2,17 45 39.853,-29 00 22.11,359.945,-0.045,WN9-10; WC9,KGE05; PGM06,,,,,,,,,,,,Nan,Nan,10.8,Galactic Center,,8,Re93
258,101fa,VIIA,HET 1,PGM06 E58,GC IRS 3E,17 45 39.868,-29 00 24.30,359.945,-0.045,WC5-6d,HET04; PGM06,,,,,,,,,,,,Nan,Nan,15,Galactic Center,,8,Re93
259,101g,VII,KGE 6,PGM06 E31,GC IRS 29N,17 45 39.918,-29 00 26.69,359.944,-0.045,WC9,KGE95,,,,,,,,,,,,Nan,Nan,10,Galactic Center,,8,Re93
261,101i,VII,GC IRS 15SW,PGM06 E83,KGE 08; MES05 WR3,17 45 39.92,-29 00 18.08,359.947,-0.044,WN9-11; WN8-WC9,KGE95; PGM06,,,,,,,,,,,,Nan,Nan,12,Galactic Center,,8,Re93
260,101h,VII,KGE 7,GC IRS 29NE1,PGM06 E35,17 45 39.965,-29 00 26.04,359.945,-0.046,WC9; WC8-9,KGE95; PGM06,,,,,,,,,,,,Nan,Nan,11.7,Galactic Center,,8,Re93
262,101j,VII,KGE 9,PGM06 E19,GC IRS 16NW,17 45 40.042,-29 00 26.89,359.944,-0.046,WN9-11; Ofpe/WN9,KGE95; PGM06,,,,,,,,,,,,Nan,Nan,10,Galactic Center,,8,Re93
263,101ja,VIIA,PGM 4 (E41),,GC IRS 33E,17 45 40.090,-29 00 31.22,359.944,-0.047,Ofpe/WN9,PGM06,,,,,,,,,,,,Nan,Nan,10.1,Galactic Center,,8,Re93
264,101k,VII,KGE 10,PGM06 E23,GC IRS 16SW,17 45 40.120,-29 00 29.08,359.944,-0.046,WN9-11+?; Ofpe/WN9,KGE05; PGM06,eclipse,"TW96,OE99",,,,,,,,,,Nan,Nan,9.9,Galactic Center,,8,Re93
265,101l,VII,KGE 11,PGM06 E20,GC IRS 16C,17 45 40.126,-29 00 27.62,359.944,-0.046,WN9-11; Ofpe/WN9,KGE95; PGM06,,,,,,,,,,,,Nan,11.99,9.7,Galactic Center,,8,Re93
266,101m,VII,KGE 12,PGM06 E88,GC IRS 15NE,17 45 40.145,-29 00 16.42,359.947,-0.045,WN9-11; WN8-9,KGE95; PGM06,,,,,,,,,,,,Nan,Nan,11.8,Galactic Center,,8,Re93
267,101ma,VIIA,PGM 5 (E71),,,17 45 40.161,-29 00 21.61,359.946,-0.046,WC8-9?,PGM06,,,,,,,,,,,,Nan,Nan,14.1,Galactic Center,,8,Re93
268,101n,VII,KGE 13,PGM06 E32,GC IRS 16SE1,17 45 40.181,-29 00 29.25,359.944,-0.047,WC9; WC8-9,KGM95; PGM06,,,,,,,,,,,,Nan,Nan,10.9,Galactic Center,,8,Re93
269,101na,VIIA,TGM05 21,BSD96-81,GC IRS 21,17 45 40.221,-29 00 30.84,359.944,-0.047,WCLd?,TGM05,,,,,,,,,,,,Nan,Nan,10.55,Galactic Center,,8,Re93
271,101nc,VIIA,PGM 7 (E65),,GC IRS 9W,17 45 40.257,-29 00 33.72,359.943,-0.048,WN8,PGM06,,,,,,,,,,,,Nan,Nan,12.1,Galactic Center,,8,Re93
272,101nd,VIIA,PGM 8 (E39),,GC IRS 16NE,17 45 40.259,-29 00 27.07,359.945,-0.047,Ofpe/WN9,PGM06,,,,,,,,,,,,Nan,Nan,8.9,Galactic Center,,8,Re93
273,101o,VII,KGE 14,PGM06 E40,GC IRS 16SE2,17 45 40.264,-29 00 29.29,359.944,-0.047,WC9; WN5-6,KGE95; PGM06,,,,,,,,,,,,Nan,Nan,12,Galactic Center,,8,Re93
274,101oa,VIIA,PMM 1 (B9),HeI N3,PGM06 E59,17 45 40.264,-29 00 24.64,359.945,-0.046,WR; WC9,PMM01; PGM06,,,,,,,,,,,,Nan,Nan,13,Galactic Center,,8,Re93
275,101ob,VIIA,PGM 9 (E76),,GC IRS 9SW,17 45 40.366,-29 00 36.13,359.943,-0.048,WC9,PGM06,,,,,,,,,,,,Nan,Nan,13.1,Galactic Center,,8,Re93
276,101oc,VIIA,PMM 2,PGM06 E70,GC IRS 7E2 (ESE),17 45 40.369,-29 00 22.76,359.946,-0.046,WR; Ofpe/WN9,PMM01; PGM06,,,,,,,,,,,,Nan,Nan,12.9,Galactic Center,,8,Re93
277,101od,VIIA,TGM05 3,,GC IRS 5,17 45 40.4,-29 00 16,359.948,-0.045,WCLd?,TGM05,,,,,,,,,,,,Nan,Nan,Nan,Galactic Center,,8,Re93
278,101oe,VIIA,TGM05 1W,BSD96-92,GC IRS 1W,17 45 40.442,-29 00 27.53,359.945,-0.047,WCLd?,TGM05,,,,,,,,,,,,Nan,Nan,8.72,Galactic Center,,8,Re93
279,101of,VIIA,PGM 10 (E80),,GC IRS 9SE,17 45 40.471,-29 00 36.27,359.943,-0.049,WC9,PGM06,,,,,,,,,,,,Nan,Nan,11.7,Galactic Center,,8,Re93
280,101og,VIIA,TGM05 10W,BSD96-94,GC IRS 10W,17 45 40.49,-29 00 22.8,359.946,-0.047,WCLd?,TGM05,,,,,,,,,,,,Nan,Nan,10.25,Galactic Center,,8,Re93
281,101oh,VIIA,PGM 11 (E72),,,17 45 40.551,-29 00 28.60,359.945,-0.048,WC9,PGM06,,,,,,,,,,,,Nan,Nan,13.6,Galactic Center,,8,Re93
282,101oi,VIIA,PMM 3 (B1),HeI N1,PGM06 E78,17 45 40.760,-29 00 27.79,359.946,-0.048,WR; WC9,PMM01; PGM06,,,,,,,,,,,,Nan,Nan,13,Galactic Center,,8,Re93
283,101p,VIIA,HBP 1,,,17 45 42.47,-28 52 53.3,0.06,0.01,WC8-9; WC8,HBP03; RC15,,,,,,,,,,,,16.324,13.045,11.197,,,,
284,102,VII,Sand 4,,Sand 4,17 45 47.00,-26 10 29.00,2.38,1.41,WO2,CDB98,,,,15.87,15.1,14.72,,,14,,,Nan,Nan,Nan,,,,
