#id,WR#,Reference,Name,Name 2,Name 3,Right Ascension J2000,Declination J2000,Galactic Longitude (deg),Galactic Latitude (deg),Spectral Type,Spectral Type Reference,Binary Status,Binary Status Reference,u,b,v,r,U,B,V,R,I,J,H,K,Cluster,Association,Distance (kpc),Distance Reference
63,43A,VII,,,HD 97950-A1,11 15 07.47,-61 15 38.16,291.62,-0.52,WN6ha+WN6ha,CD98,SB2,SCC08,,,,,,,11.18,,,7.98,7.79,7.21,NGC 3603,,7.6,MMM08
64,43B,VII,,,HD 97950-B,11 15 07.58,-61 15 38.32,291.62,-0.52,WN6ha,CD98,,"SCM02, SCC08",,,,,,12.34,11.33,,,7.78,7.7,7.08,NGC 3603,,7.6,MMM08
660,43-2,RL13,MTT 58,RFS2,,11 15 07.60,-61 16 54.8,291.626,-0.542,O2If*/WN5,RFS16,,,,,,,,16.14,14.76,,,10.47,9.68,9.24,NGC 3603?,,7.6,MMM08
65,43C,VII,,,HD 97950-C,11 15 07.76,-61 15 37.75,291.62,-0.52,O3If*/WN6,CW11,,"SCM02, SCC08",,,,,,12.94,11.89,,,8.49,8.13,7.81,NGC 3603,,7.6,MMM08
729,43-3,RFS16,RFS7,,,11 15 15.36,-60 51 17.6,291.49,-0.139,O2.5If*/WN6,RFS16,,,,,,,,14.17,12.89,,,9.85,9.39,9.12,,,,
66,43-1,SM09,SMG09 740_21,,2MASS J11160353-6126583,11 16 03.53,-61 26 58.30,291.79,-0.66,WN4b,SMG09,,,,,,,,16.76,16.82,15.97,,13.16,11.57,10.47,,,,
67,44,VII,,,LSS 2289,11 16 57.86,-59 26 24.00,291.18,1.26,WN4o+OB?,SSM96,d.e.l.,"CM89,VII",,13.33,12.96,,,,,,,7.91,6.93,6.59,,,,
68,44a,VII,SMSP 13,,SMSP 13,11 18 43.50,-61 26 37.00,292.09,-0.54,WN5b,SMS99,,,,17.75,16.2,,,,,,,Nan,Nan,Nan,,,,
69,44-1,SM09,SMG09 740_16,,2MASS J11194296-6127124,11 19 42.96,-61 27 12.40,292.2,-0.51,WCE,SMG09,,,,,,,,13.67,12.35,13.03,,11.5,10.987,10.326,,,,
70,45,VII,,,LSS 2423,11 38 05.20,-62 16 01.00,294.51,-0.6,WC6,VI,,,,15.92,14.8,14.08,,,14.1,,,10.6,9.99,9.2,,,,
71,45-1,HD07,HDM 1,,2MASS J11423766-6241193,11 42 37.66,-62 41 19.30,295.13,-0.86,WN9-10h,HD07,,,,,,,,18.5,,16.6,,11.496,10.54,9.813,,,,
72,45-2,SM09,SMG09 768_6,,2MASS J11460666-6247127,11 46 06.66,-62 47 12.70,295.54,-0.86,WN5,SMG09,,,,,,,,15.56,17.17,14.11,,12.15,11.36,10.78,,,,
73,45a,VII,SMSNPL 1,,SMSNPL 1,11 46 18.22,-61 24 41.10,295.22,0.48,WN5o,SMS99,,,,17.88,16.69,,,17.2,,15.4,,11.904,11.236,10.732,,,,
74,45b,VII,SMSNPL 2,,SMSNPL 2,11 48 46.18,-62 23 03.50,295.74,-0.39,WN4b,SMS99,,,,19.48,18.08,,,17,,15.1,,11.45,10.609,9.918,,,,
75,45-3,SM09,SMG09 772_17,,2MASS J11500424-6252154,11 50 04.24,-62 52 15.40,296,-0.83,"WN6, WN5b","SMG09, RC15",,,,,,,,18.23,,16.47,,12.57,11.58,10.94,,,,
76,45-4,SM09,SMG09 773_3,MV09 J11555211-6245022,,11 55 52.11,-62 45 02.20,296.62,-0.56,WN6,SMG09; MV09,,,,,,,,18.38,,14.94,,11.65,10.76,10.14,,,,
641,45-5,CBB12,VVV CL009-6,,,11 56 03.78,-63 18 54.44,296.76,-1.11,WN7/Of,CBB12,,,,,,,,,,,,10.55,9.93,9.65,VVV CL009,,5,CBB12
77,45c,VII,SMSNPL 3,,SMSNPL 3,11 56 04.77,-62 44 05.30,296.64,-0.54,WN5o,SMS99,,,,16.35,15.44,,,15.1,,14.2,,11.354,10.789,10.322,,,,
78,46,VII,HD 104994,HIP 58954,,12 05 18.73,-62 03 10.10,297.56,0.34,WN3b pec,SSM96,"d.e.l., SB1?","CM89,VG95,NB95,MM96,MMH98,MA00,VGC02,VGH02,VII",10.71,10.84,10.87,10.9,9.95,10.77,10.58,,,10.199,10.079,9.834,,Cru OB4.0,,
79,46-1,HD07,HDM 2,,2MASS J12065647-6238304,12 06 56.48,-62 38 30.50,297.85,-0.21,WN6o,HD07,,,,,,,,17.8,,15.3,,11.547,10.818,10.222,,,,
730,46-18,RC17,RC17 E3,,,12 08 52.49,-62 50 54.9,298.0981,-0.3769,WC6-7,RC17,,,,,,,,,,,,13.34,11.67,10.47,,,,
80,46-7,MV09,,,2MASS J12100795-6244194,12 10 07.95,-62 44 19.40,298.22,-0.25,WC5-7,MV10,,,,,,,,,,,,12.753,11.082,9.741,,,,
81,46-8,MV09,,,2MASS J12110256-6257476,12 11 02.56,-62 57 47.60,298.36,-0.45,WN6,MV10,,,,,,,,,,,,12.017,10.702,9.845,,,,
630,46-16,RMM11,RMM11 #5,,,12 11 54.1,-63 17 04.0,298.506,-0.753,WN9,RMM11,,,,,,,,,,,,13.44,12.05,11.54,,Dragonfish,9.7,RMM11
82,46-9,MV09,,,2MASS J12121681-6246145,12 12 16.81,-62 46 14.50,298.47,-0.24,"WN4-6, WN5","MV10, RC15",,,,,,,,,,,,12.07,10.72,9.88,,,,
642,46-17,CBB12,VVV CL011-2,,,12 12 41.13,-62 42 30.71,298.51,-0.17,WN9/OIf+,CBB12,,,,,,,,,,,,11.72,10.6,10.05,VVV CL011,,5,CBB12
83,46a,VII,SMSNPL 4,,SMSNPL 4,12 13 02.29,-63 42 25.90,298.69,-1.15,WN4o,SMS99,,,,17.04,16,,,16.7,,15.5,,12.076,11.418,10.919,,,,
84,46-10,SM09,SMG09 791_12c,,2MASS J12132829-6241429,12 13 28.29,-62 41 42.90,298.59,-0.14,WCE,SMG09,,,,,,,,,,,,14.05,13.67,11.53,,,,
85,46-2,HD07,HDM 3,,2MASS J12133879-6308580,12 13 38.79,-63 08 58.10,298.68,-0.59,WN7h,HD07,,,,,,,,17.7,,14.5,,10.56,9.644,9.032,,,,
86,46-3,KB07,KBG2007-4,mercer 30-1,,12 14 31.54,-62 58 54.30,298.754,-0.41,WN7-8; O6-7.5If+,KB07; FNB16,,,,,,,,,,,,10.33,9.06,8.54,Glimpse 30,,7.2,KB07
87,46-4,KB07,KBG2007-3,Mercer 30-6a,,12 14 31.73,-62 58 52.1,298.754,-0.409,Ofp/WN; Ofpe/WN9,KB07; FNB16,,,,,,,,,,,,10.39,9.56,9.02,Glimpse 30,,7.2,KB07
88,46-5,KB07,KBG2007-2,Mercer 30-7,,12 14 33.09,-62 58 51.00,298.757,-0.408,WN6,KB07; FNB16,,,,,,,,,,,,11.516,10.25,9.67,Glimpse 30,,7.2,KB07
89,46-6,KB07,KBG2007-1,Mercer 30-8,,12 14 33.91,-62 58 48.70,298.758,-0.408,WN7,KB07; FNB16,,,,,,,,,,,,11.658,10.3,9.64,Glimpse 30,,7.2,KB07
585,46-15,MDM11,MDM 2,,,12 15 12.49,-62 46 43.8,298.8,-0.2,WN8,MDM11,,,,,,,,,,,,13.13,11.03,9.84,,,,
90,46-11,SM09,SMG09 808_14,,2MASS J12284191-6325461,12 28 41.91,-63 25 46.10,300.39,-0.67,WCE,SMG09,,,,,,,,20.28,,17.82,,12.78,11.83,10.94,,,,
91,46-12,SM09,SMG09 808_23,MV09 J12285099-6317002,,12 28 50.99,-63 17 00.20,300.4,-0.52,WN5; WN4-5; WN4b,SMG09; MV09; RC15,,,,,,,,,,18.61,,13.56,12.55,11.84,,,,
92,46-13,SM09,SMG09 807_16,,2MASS J12300386-6250171,12 30 03.86,-62 50 17.10,300.5,-0.07,WC7,SMG09,,,,,,,,,,19.2,,13.16,12.05,11.09,,,,
93,46-14,SM09,SMG09 816_10,,2MASS J12381878-6324197,12 38 18.78,-63 24 19.70,301.46,-0.57,WN5b,SMG09,,,,,,,,,,18.43,,12.93,11.76,10.96,,,,
94,47,VII,HD 311884,HIP 62115,,12 43 51.01,-63 05 14.80,302.07,-0.23,WN6o+O5V,SSM96,SB2,"LM87,SM89,MD90,LM96,GN99",12.17,11.84,11.08,10.58,11.39,11.59,10.79,,,8.316,7.916,7.549,Ho 15-3:,,3.8,LS84
95,47a,VII,SMSNPL 5,,SMSNPL 5,12 45 51.27,-64 09 37.80,302.32,-1.3,WN8h,SMS99,,,,17.71,15.98,,,,,14.2,,10.439,9.68,9.058,,,,
96,47-1,HD07,HDM 4,,2MASS J12461614-6257234,12 46 16.14,-62 57 23.50,302.34,-0.09,WN6o,HD07,,,,,,,,19.6,,16.5,,12.184,11.216,10.555,,,,
97,47b,VII,SMSNPL 6,,SMSNPL 6,12 48 07.63,-63 38 40.20,302.56,-0.78,WN9h,SMS99,,,,18.98,17.05,,,17.7,,14.7,,10.288,9.436,8.837,,,,
731,47-5,RC17,RC17 B13,,,12 50 48.98,-62 24 39.8,302.8599,0.4606,WN6(h),RC17,,,,,,,,,,,,13.32,12.92,11.09,,,,
98,47c,VII,SMSNPL 7,,SMSNPL 7,12 52 55.67,-63 46 39.10,303.1,-0.91,WC5,SMS99,,,,17.49,16.09,,,16.5,,14.8,,11.244,10.481,9.892,,,,
99,47-2,SM09,SMG09 832_25,,2MASS J12554426-6335500,12 55 44.26,-63 35 50.00,303.41,-0.73,WC5-6,SMG09,,,,,,,,,,,,12.48,11.12,10.22,,,,
100,47-3,SM09,SMG09 856_13c,,2MASS J13031108-6342162,13 03 11.08,-63 42 16.20,304.23,-0.86,WC5-6,SMG09,,,,,,,,,,18.72,,13.13,11.92,11.05,,,,
101,47-4,SM09,SMG09 839_12,,2MASS J13045008-6304402,13 04 50.08,-63 04 40.20,304.45,-0.25,WC5-6,SMG09,,,,,,,,,,,,15.69,14,12.54,,,,
102,48,VII,theta Mus,HIP 64094,theta Mus,13 08 07.16,-65 18 21.70,304.67,-2.49,WC6(+O9.5/B0Iab),"VI,Co84","SB1, VB","MS77,SD87,SM89,Hip97,MG98,HaM99,NG99a",,5.76,5.88,,4.65,5.619,5.662,,,5.571,5.566,5.434,,Cen OB1:,,
103,48-1,HD07,HDM 5,,2MASS J13101207-6239065,13 10 12.07,-62 39 06.60,305.09,0.14,WC7,HD07,,,,,,,,18.1,,15.7,,11.055,10.091,9.315,,,,
104,48b,VII,SMSNPL 8,,2MASS J13112771-6345598,13 11 27.45,-63 46 00.80,305.14,-0.98,WC9d,"SMS99,Co00",,,,17.03,15.96,,,,,,,10.99,9.78,8.578,,,,
586,48-6,MDM11,MDM11 3,,,13 12 09.05,-62 43 26.7,305.3,0.05,WN8-9; WN9,MDM11; RC15,,,,,,,,,,,,10.21,8.57,7.58,,,,
105,48-3,SM09,SMG09 845_34,MDM11 4,,13 12 21.30,-62 40 12.50,305.33,0.1,WC8,SMG09,,,,,,,,,,16.24,,10.75,9.57,8.77,,,,
624,48-10,DCT12,DCT12 D1-2,,,13 12 24.98,-62 42 00.2,305.33,0.07,WNLh; WN9h,DCT11; RC15,,,,,,,,,,,,9.42,8.15,7.48,Danks 1,,3.8,DCT12
587,48-7,MDM11,MDM11 5,,USNO 0272-0487929,13 12 25.46,-62 44 41.7,305.33,0.03,WN9; WN8,MDM11; RC15,,,,,,,,20.13,,15.26,,9.81,8.48,7.65,Danks 1,,3.8,DCT12
106,48-4,SM09,SMG09 845_35,MDM11 6,,13 12 27.67,-62 44 22.00,305.34,0.03,WC7; WC6,SMG09; RC15,,,,,,,,,,17.95,,13.16,11.82,10.71,Danks 1,,3.8,DCT12
588,48-8,MDM11,MDM11 7,DCT12 D1-5,,13 12 28.50,-62 41 50.9,305.34,0.08,WN9; WCLh,MDM11; DCT11,,,,,,,,,,,,9.81,8.83,8.15,Danks 1,,3.8,DCT12
589,48-9,MDM11,MDM11 8,DCT12 D1-1,,13 12 28.55,-62 41 43.8,305.34,0.08,WN9h; WNLh,MDM11; DCT11,,,,,,,,,,,,8.26,7.27,6.61,Danks 1,,3.8,DCT12
