source_id,r_est,r_lo,r_hi
2034210349533480192,7938.09201185731,6596.33921743749,9827.3844808474
2034096172116995712,4276.28899943503,3823.60840522494,4844.250070321
2059076148587289728,1856.14139685877,1747.10746947018,1979.38065146921
2059146654767199872,1756.11849012642,1663.95203597804,1858.86672606156
2058985262750809088,1990.69446962542,1866.81178626386,2131.77743946146
2198726735323427072,5767.77994161209,4772.64532252503,7186.40312309869
2061690233159124352,1945.33950639688,1823.02774028368,2084.83571734134
2060508777869902592,2116.52193768266,1989.19797411004,2260.84314144335
2060661846184974464,2515.03968764853,2260.86797171911,2830.89373440616
2062560122958679936,9237.71478251871,7287.79954941957,11858.3942745675
2061291595788070656,1309.0743391444,1261.01990576186,1360.8605076491
2081261372633822592,1640.52483770414,1566.56822039223,1721.65719909145
2057563358004716928,1938.47989135787,1833.12604453953,2056.37809240468
2057966393428544128,1655.53652786971,1580.79544118757,1737.53499562423
2068434332539101056,1870.93239862257,1598.04138653836,2248.92021428725
2069091531258827648,1784.81082229322,1645.46667177848,1949.1938193094
2064136921403778816,2386.99974060956,2216.80506304691,2584.53726762846
2067824545964503168,1768.57796360109,1617.90131174714,1949.11609147676
2067745076187793024,1461.76063945203,1376.35638215254,1558.18797252747
2067769574681275904,1364.47630233304,1268.00793616297,1476.40381963043
2067867358199590400,1249.04726444925,815.756318097672,2228.94930733297
2064671253991921408,4168.22448917086,2994.47203706981,5787.75767999369
2182307453299864064,12682.236110412,10143.633527091,16145.3088207255
2165537770680635904,5009.4434502442,4511.00704015819,5622.64137340882
1980522738604744704,9853.44447257233,8283.61089177935,11887.6447375065
2006109684163831296,4542.31364668242,3790.69297473151,5604.38990731724
2006219978921880192,4146.4904422105,3695.09807361792,4714.88667713476
2007494038022005248,5584.85697033375,4738.35453218228,6735.39641726837
2006888825592397440,3007.60005484778,2722.72759358481,3355.98028205482
2014674226896884864,4134.81386100187,3739.13442259697,4618.90219723643
2013906561622284288,2574.11223774009,2361.53248108037,2827.22481018551
2012912500041834752,5171.75939358357,4557.00237409557,5958.78114996747
